Dataset: cifar100
100%|████████████████████████████████████████████████████████████████████████████████████| 169M/169M [00:03<00:00, 49.5MB/s]
Setting up Decoupled Contrastive Learning
Setting up Negatives-only Supervised Contrastive Learning
Setting up Supervised Contrastive Learning
[GPU 0] Training epoch 0...
  6%|█████▌                                                                                  | 3/48 [00:07<01:27,  1.94s/it]/home/priyadarsimishra/understanding_ssl_v2/utils/optimizer.py:142: UserWarning: This overload of add_ is deprecated:
🧮 Accumulative batch loss at batch idx 7 for NSCL model: 67.14980125427246
🧮 Accumulative batch loss at batch idx 7 for SCL model: 69.87820339202881
🧮 Accumulative batch loss at batch idx 8 for DCL model: 75.2660140991211
🧮 Accumulative batch loss at batch idx 8 for NSCL model: 75.16004943847656
🧮 Accumulative batch loss at batch idx 8 for SCL model: 78.1177225112915
🧮 Accumulative batch loss at batch idx 9 for DCL model: 83.33388710021973
🧮 Accumulative batch loss at batch idx 9 for NSCL model: 83.21420860290527
🧮 Accumulative batch loss at batch idx 9 for SCL model: 86.34250354766846
🧮 Accumulative batch loss at batch idx 10 for DCL model: 91.29267692565918
🧮 Accumulative batch loss at batch idx 10 for NSCL model: 91.1643590927124
🧮 Accumulative batch loss at batch idx 10 for SCL model: 94.54376316070557
🧮 Accumulative batch loss at batch idx 11 for DCL model: 99.30656814575195
🧮 Accumulative batch loss at batch idx 11 for NSCL model: 99.16333723068237
🧮 Accumulative batch loss at batch idx 11 for SCL model: 102.70562362670898
🧮 Accumulative batch loss at batch idx 12 for DCL model: 107.20713424682617
🧮 Accumulative batch loss at batch idx 12 for NSCL model: 107.03207921981812
🧮 Accumulative batch loss at batch idx 12 for SCL model: 110.84288215637207
🧮 Accumulative batch loss at batch idx 13 for DCL model: 115.09819316864014
🧮 Accumulative batch loss at batch idx 13 for NSCL model: 114.91315603256226
🧮 Accumulative batch loss at batch idx 13 for SCL model: 118.96208763122559
🧮 Accumulative batch loss at batch idx 14 for DCL model: 122.9378023147583
🧮 Accumulative batch loss at batch idx 14 for NSCL model: 122.75303745269775
🧮 Accumulative batch loss at batch idx 14 for SCL model: 127.08084011077881
🧮 Accumulative batch loss at batch idx 15 for DCL model: 130.80860567092896
🧮 Accumulative batch loss at batch idx 15 for NSCL model: 130.63143920898438
🧮 Accumulative batch loss at batch idx 15 for SCL model: 135.19238185882568
🧮 Accumulative batch loss at batch idx 16 for DCL model: 138.68054056167603
🧮 Accumulative batch loss at batch idx 16 for NSCL model: 138.49818515777588
🧮 Accumulative batch loss at batch idx 16 for SCL model: 143.28280067443848
🧮 Accumulative batch loss at batch idx 17 for DCL model: 146.58750104904175
🧮 Accumulative batch loss at batch idx 17 for NSCL model: 146.38381576538086
🧮 Accumulative batch loss at batch idx 17 for SCL model: 151.36609649658203
🧮 Accumulative batch loss at batch idx 18 for DCL model: 154.4253077507019
🧮 Accumulative batch loss at batch idx 18 for NSCL model: 154.2698793411255
🧮 Accumulative batch loss at batch idx 18 for SCL model: 159.45001983642578
🧮 Accumulative batch loss at batch idx 19 for DCL model: 162.29602003097534
🧮 Accumulative batch loss at batch idx 19 for NSCL model: 162.17455768585205
🧮 Accumulative batch loss at batch idx 19 for SCL model: 167.5327959060669
🧮 Accumulative batch loss at batch idx 20 for DCL model: 170.11812686920166
🧮 Accumulative batch loss at batch idx 20 for NSCL model: 170.00923585891724
🧮 Accumulative batch loss at batch idx 20 for SCL model: 175.58969497680664
🧮 Accumulative batch loss at batch idx 21 for DCL model: 177.9751706123352
🧮 Accumulative batch loss at batch idx 21 for NSCL model: 177.8274998664856
🧮 Accumulative batch loss at batch idx 21 for SCL model: 183.65614128112793
🧮 Accumulative batch loss at batch idx 22 for DCL model: 185.7248673439026
🧮 Accumulative batch loss at batch idx 22 for NSCL model: 185.59079504013062
🧮 Accumulative batch loss at batch idx 22 for SCL model: 191.7270975112915
🧮 Accumulative batch loss at batch idx 23 for DCL model: 193.49069547653198
🧮 Accumulative batch loss at batch idx 23 for NSCL model: 193.36785078048706
🧮 Accumulative batch loss at batch idx 23 for SCL model: 199.79499626159668
🧮 Accumulative batch loss at batch idx 24 for DCL model: 201.27763843536377
🧮 Accumulative batch loss at batch idx 24 for NSCL model: 201.16284847259521
🧮 Accumulative batch loss at batch idx 24 for SCL model: 207.83405017852783
🧮 Accumulative batch loss at batch idx 25 for DCL model: 209.0839033126831
🧮 Accumulative batch loss at batch idx 25 for NSCL model: 208.93784618377686
🧮 Accumulative batch loss at batch idx 25 for SCL model: 215.87646579742432
🧮 Accumulative batch loss at batch idx 26 for DCL model: 216.90819358825684
🧮 Accumulative batch loss at batch idx 26 for NSCL model: 216.67710494995117
🧮 Accumulative batch loss at batch idx 26 for SCL model: 223.93431949615479
🧮 Accumulative batch loss at batch idx 27 for DCL model: 224.72396898269653
🧮 Accumulative batch loss at batch idx 27 for NSCL model: 224.45718383789062
🧮 Accumulative batch loss at batch idx 27 for SCL model: 231.98807048797607
🧮 Accumulative batch loss at batch idx 28 for DCL model: 232.54235219955444
🧮 Accumulative batch loss at batch idx 28 for NSCL model: 232.24216842651367
🧮 Accumulative batch loss at batch idx 28 for SCL model: 240.03269958496094
🧮 Accumulative batch loss at batch idx 29 for DCL model: 240.38752603530884
🧮 Accumulative batch loss at batch idx 29 for NSCL model: 240.0771780014038
🧮 Accumulative batch loss at batch idx 29 for SCL model: 248.0647678375244
🧮 Accumulative batch loss at batch idx 30 for DCL model: 248.19768476486206
🧮 Accumulative batch loss at batch idx 30 for NSCL model: 247.86555290222168
🧮 Accumulative batch loss at batch idx 30 for SCL model: 256.1044864654541
🧮 Accumulative batch loss at batch idx 31 for DCL model: 255.9407444000244
🧮 Accumulative batch loss at batch idx 31 for NSCL model: 255.61040878295898
🧮 Accumulative batch loss at batch idx 31 for SCL model: 264.13758277893066
🧮 Accumulative batch loss at batch idx 32 for DCL model: 263.7224464416504
🧮 Accumulative batch loss at batch idx 32 for NSCL model: 263.27544593811035
🧮 Accumulative batch loss at batch idx 32 for SCL model: 272.1782455444336
🧮 Accumulative batch loss at batch idx 33 for DCL model: 271.4454917907715
🧮 Accumulative batch loss at batch idx 33 for NSCL model: 270.99816608428955
🧮 Accumulative batch loss at batch idx 33 for SCL model: 280.2237949371338
🧮 Accumulative batch loss at batch idx 34 for DCL model: 279.17358016967773
🧮 Accumulative batch loss at batch idx 34 for NSCL model: 278.72948455810547
🧮 Accumulative batch loss at batch idx 34 for SCL model: 288.264684677124
🧮 Accumulative batch loss at batch idx 35 for DCL model: 286.83550453186035
🧮 Accumulative batch loss at batch idx 35 for NSCL model: 286.44341564178467
🧮 Accumulative batch loss at batch idx 35 for SCL model: 296.27842140197754
🧮 Accumulative batch loss at batch idx 36 for DCL model: 294.55013608932495
🧮 Accumulative batch loss at batch idx 36 for NSCL model: 294.1337785720825
🧮 Accumulative batch loss at batch idx 36 for SCL model: 304.2886724472046
🧮 Accumulative batch loss at batch idx 37 for DCL model: 302.2527346611023
🧮 Accumulative batch loss at batch idx 37 for NSCL model: 301.89142322540283
🧮 Accumulative batch loss at batch idx 37 for SCL model: 312.31219959259033
🧮 Accumulative batch loss at batch idx 38 for DCL model: 309.98021364212036
🧮 Accumulative batch loss at batch idx 38 for NSCL model: 309.5967016220093
🧮 Accumulative batch loss at batch idx 38 for SCL model: 320.3409261703491
🧮 Accumulative batch loss at batch idx 39 for DCL model: 317.633421421051
🧮 Accumulative batch loss at batch idx 39 for NSCL model: 317.29971408843994
🧮 Accumulative batch loss at batch idx 39 for SCL model: 328.3465757369995
🧮 Accumulative batch loss at batch idx 40 for DCL model: 325.29669713974
🧮 Accumulative batch loss at batch idx 40 for NSCL model: 324.99034547805786
🧮 Accumulative batch loss at batch idx 40 for SCL model: 336.36528491973877
🧮 Accumulative batch loss at batch idx 41 for DCL model: 332.97612047195435
🧮 Accumulative batch loss at batch idx 41 for NSCL model: 332.671582698822
🧮 Accumulative batch loss at batch idx 41 for SCL model: 344.40031719207764
🧮 Accumulative batch loss at batch idx 42 for DCL model: 340.69246530532837
🧮 Accumulative batch loss at batch idx 42 for NSCL model: 340.33791494369507
🧮 Accumulative batch loss at batch idx 42 for SCL model: 352.4132890701294
🧮 Accumulative batch loss at batch idx 43 for DCL model: 348.38925790786743
🧮 Accumulative batch loss at batch idx 43 for NSCL model: 347.97538471221924
🧮 Accumulative batch loss at batch idx 43 for SCL model: 360.42935276031494
🧮 Accumulative batch loss at batch idx 44 for DCL model: 356.08613872528076
🧮 Accumulative batch loss at batch idx 44 for NSCL model: 355.62830209732056
🧮 Accumulative batch loss at batch idx 44 for SCL model: 368.45797061920166
🧮 Accumulative batch loss at batch idx 45 for DCL model: 363.7314167022705
🧮 Accumulative batch loss at batch idx 45 for NSCL model: 363.26564264297485
🧮 Accumulative batch loss at batch idx 45 for SCL model: 376.4621877670288
🧮 Accumulative batch loss at batch idx 46 for DCL model: 371.40220165252686
🧮 Accumulative batch loss at batch idx 46 for NSCL model: 370.91188383102417
🧮 Accumulative batch loss at batch idx 46 for SCL model: 384.46002292633057
🧮 Accumulative batch loss at batch idx 47 for DCL model: 379.08347034454346
🧮 Accumulative batch loss at batch idx 47 for NSCL model: 378.5835647583008
🧮 Accumulative batch loss at batch idx 47 for SCL model: 392.4821662902832
Saved dcl model to checkpoints/cifar100_parallel//dcl/snapshot_0.pth at epoch 0
Saved nscl model to checkpoints/cifar100_parallel//nscl/snapshot_0.pth at epoch 0
Saved scl model to checkpoints/cifar100_parallel//scl/snapshot_0.pth at epoch 0
Saved all models at epoch 0
DCL Loss per epoch: 7.897572298844655
NSCL Loss per epoch: 7.887157599131267
SCL Loss per epoch: 8.176711797714233

=== Starting Evaluation ===
perform_rsa: True
len(self.models_config): 3
models_config keys: ['dcl', 'nscl', 'scl']
Extracting Features: 100%|██████████████████████████████████████████████████████████████████| 10/10 [00:02<00:00,  3.91it/s]
Extracted features for dcl: torch.Size([10000, 2048])
Extracting Features: 100%|██████████████████████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.63it/s]
Evaluation accuracies: [0.05609999969601631]
CDNV: 19.77863883972168, Dir-CDNV: 7.10205602645874
Extracting Features: 100%|██████████████████████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.49it/s]
Extracted features for nscl: torch.Size([10000, 2048])
Extracting Features: 100%|██████████████████████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.39it/s]
Evaluation accuracies: [0.05939999967813492]
CDNV: 19.005634307861328, Dir-CDNV: 6.465297222137451
Extracting Features: 100%|██████████████████████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.37it/s]
Extracted features for scl: torch.Size([10000, 2048])
Extracting Features: 100%|██████████████████████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.24it/s]
Evaluation accuracies: [0.07519999891519547]
CDNV: 17.882719039916992, Dir-CDNV: 5.393131732940674

=== Starting RSA Computation ===
Available models: ['dcl', 'nscl', 'scl']
Available eval_outputs: ['dcl', 'nscl', 'scl']
Available model_configs: ['dcl', 'nscl', 'scl']
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|██████████████████████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 161.45it/s]
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|██████████████████████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 189.85it/s]

RSA (Pearson) Correlation between DCL and nscl features: 0.0023 with p-value: 1.5907e-60
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|██████████████████████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 189.33it/s]

RSA (Pearson) Correlation between DCL and scl features: 0.0025 with p-value: 8.8579e-70

--- RSA Computation Complete ---
outputs: defaultdict(None, {'NCCC': 0.05609999969601631, 'CDNV': 19.77863883972168, 'd-CDNV': 7.10205602645874, 'Loss': 7.897572298844655})
Traceback (most recent call last):
  File "/home/priyadarsimishra/understanding_ssl_v2/scripts/parallel_dcl_nscl_train_simclr.py", line 477, in <module>
    trainer.train(epochs)
  File "/home/priyadarsimishra/understanding_ssl_v2/scripts/parallel_dcl_nscl_train_simclr.py", line 195, in train
    self.log_metrics(eval_outputs, epoch)
  File "/home/priyadarsimishra/understanding_ssl_v2/scripts/parallel_dcl_nscl_train_simclr.py", line 324, in log_metrics
    log_data[f"{model_name}_rsa"] = outputs[model_name]["RSA"]
KeyError: 'dcl'
[rank0]: Traceback (most recent call last):
[rank0]:   File "/home/priyadarsimishra/understanding_ssl_v2/scripts/parallel_dcl_nscl_train_simclr.py", line 477, in <module>
[rank0]:     trainer.train(epochs)
[rank0]:   File "/home/priyadarsimishra/understanding_ssl_v2/scripts/parallel_dcl_nscl_train_simclr.py", line 195, in train
[rank0]:     self.log_metrics(eval_outputs, epoch)
[rank0]:   File "/home/priyadarsimishra/understanding_ssl_v2/scripts/parallel_dcl_nscl_train_simclr.py", line 324, in log_metrics
[rank0]:     log_data[f"{model_name}_rsa"] = outputs[model_name]["RSA"]
[rank0]: KeyError: 'dcl'
