Dataset: cifar100
100%|███████████████████████████████████████████████████████████████████| 169M/169M [00:03<00:00, 48.6MB/s]
Setting up Decoupled Contrastive Learning
Setting up Negatives-only Supervised Contrastive Learning
Setting up Supervised Contrastive Learning
[GPU 0] Training epoch 0...
  4%|██▉                                                                    | 2/48 [00:05<02:00,  2.62s/it]/home/priyadarsimishra/understanding_ssl_v2/utils/optimizer.py:142: UserWarning: This overload of add_ is deprecated:
🧮 Accumulative batch loss at batch idx 8 for NSCL model: 74.65047931671143
🧮 Accumulative batch loss at batch idx 8 for SCL model: 76.79164028167725
🧮 Accumulative batch loss at batch idx 9 for DCL model: 82.76037502288818
🧮 Accumulative batch loss at batch idx 9 for NSCL model: 82.64451313018799
🧮 Accumulative batch loss at batch idx 9 for SCL model: 84.95584201812744
🧮 Accumulative batch loss at batch idx 10 for DCL model: 90.79171085357666
🧮 Accumulative batch loss at batch idx 10 for NSCL model: 90.64727878570557
🧮 Accumulative batch loss at batch idx 10 for SCL model: 93.09724426269531
🧮 Accumulative batch loss at batch idx 11 for DCL model: 98.8302526473999
🧮 Accumulative batch loss at batch idx 11 for NSCL model: 98.61292695999146
🧮 Accumulative batch loss at batch idx 11 for SCL model: 101.2342004776001
🧮 Accumulative batch loss at batch idx 12 for DCL model: 106.83066844940186
🧮 Accumulative batch loss at batch idx 12 for NSCL model: 106.65637254714966
🧮 Accumulative batch loss at batch idx 12 for SCL model: 109.37553024291992
🧮 Accumulative batch loss at batch idx 13 for DCL model: 114.74713325500488
🧮 Accumulative batch loss at batch idx 13 for NSCL model: 114.60046911239624
🧮 Accumulative batch loss at batch idx 13 for SCL model: 117.49863815307617
🧮 Accumulative batch loss at batch idx 14 for DCL model: 122.7072548866272
🧮 Accumulative batch loss at batch idx 14 for NSCL model: 122.56922245025635
🧮 Accumulative batch loss at batch idx 14 for SCL model: 125.58865165710449
🧮 Accumulative batch loss at batch idx 15 for DCL model: 130.66433668136597
🧮 Accumulative batch loss at batch idx 15 for NSCL model: 130.521484375
🧮 Accumulative batch loss at batch idx 15 for SCL model: 133.67681312561035
🧮 Accumulative batch loss at batch idx 16 for DCL model: 138.58216905593872
🧮 Accumulative batch loss at batch idx 16 for NSCL model: 138.39928245544434
🧮 Accumulative batch loss at batch idx 16 for SCL model: 141.76222038269043
🧮 Accumulative batch loss at batch idx 17 for DCL model: 146.4813871383667
🧮 Accumulative batch loss at batch idx 17 for NSCL model: 146.28236293792725
🧮 Accumulative batch loss at batch idx 17 for SCL model: 149.83122444152832
🧮 Accumulative batch loss at batch idx 18 for DCL model: 154.34520530700684
🧮 Accumulative batch loss at batch idx 18 for NSCL model: 154.1204056739807
🧮 Accumulative batch loss at batch idx 18 for SCL model: 157.90482807159424
🧮 Accumulative batch loss at batch idx 19 for DCL model: 162.19399452209473
🧮 Accumulative batch loss at batch idx 19 for NSCL model: 161.91314220428467
🧮 Accumulative batch loss at batch idx 19 for SCL model: 165.96363735198975
🧮 Accumulative batch loss at batch idx 20 for DCL model: 170.0636763572693
🧮 Accumulative batch loss at batch idx 20 for NSCL model: 169.70106077194214
🧮 Accumulative batch loss at batch idx 20 for SCL model: 174.03572940826416
🧮 Accumulative batch loss at batch idx 21 for DCL model: 177.9315152168274
🧮 Accumulative batch loss at batch idx 21 for NSCL model: 177.5234456062317
🧮 Accumulative batch loss at batch idx 21 for SCL model: 182.10345649719238
🧮 Accumulative batch loss at batch idx 22 for DCL model: 185.78424310684204
🧮 Accumulative batch loss at batch idx 22 for NSCL model: 185.38629865646362
🧮 Accumulative batch loss at batch idx 22 for SCL model: 190.1589593887329
🧮 Accumulative batch loss at batch idx 23 for DCL model: 193.71002626419067
🧮 Accumulative batch loss at batch idx 23 for NSCL model: 193.29600858688354
🧮 Accumulative batch loss at batch idx 23 for SCL model: 198.21964359283447
🧮 Accumulative batch loss at batch idx 24 for DCL model: 201.56695318222046
🧮 Accumulative batch loss at batch idx 24 for NSCL model: 201.1385054588318
🧮 Accumulative batch loss at batch idx 24 for SCL model: 206.26240062713623
🧮 Accumulative batch loss at batch idx 25 for DCL model: 209.38107824325562
🧮 Accumulative batch loss at batch idx 25 for NSCL model: 209.00005674362183
🧮 Accumulative batch loss at batch idx 25 for SCL model: 214.31562328338623
🧮 Accumulative batch loss at batch idx 26 for DCL model: 217.1822648048401
🧮 Accumulative batch loss at batch idx 26 for NSCL model: 216.81536102294922
🧮 Accumulative batch loss at batch idx 26 for SCL model: 222.3612642288208
🧮 Accumulative batch loss at batch idx 27 for DCL model: 225.02748823165894
🧮 Accumulative batch loss at batch idx 27 for NSCL model: 224.70171451568604
🧮 Accumulative batch loss at batch idx 27 for SCL model: 230.40222263336182
🧮 Accumulative batch loss at batch idx 28 for DCL model: 232.80593395233154
🧮 Accumulative batch loss at batch idx 28 for NSCL model: 232.41991710662842
🧮 Accumulative batch loss at batch idx 28 for SCL model: 238.465558052063
🧮 Accumulative batch loss at batch idx 29 for DCL model: 240.5897979736328
🧮 Accumulative batch loss at batch idx 29 for NSCL model: 240.19720077514648
🧮 Accumulative batch loss at batch idx 29 for SCL model: 246.49773979187012
🧮 Accumulative batch loss at batch idx 30 for DCL model: 248.37319231033325
🧮 Accumulative batch loss at batch idx 30 for NSCL model: 247.94997024536133
🧮 Accumulative batch loss at batch idx 30 for SCL model: 254.54162788391113
🧮 Accumulative batch loss at batch idx 31 for DCL model: 256.1620445251465
🧮 Accumulative batch loss at batch idx 31 for NSCL model: 255.7658805847168
🧮 Accumulative batch loss at batch idx 31 for SCL model: 262.5856237411499
🧮 Accumulative batch loss at batch idx 32 for DCL model: 263.9462938308716
🧮 Accumulative batch loss at batch idx 32 for NSCL model: 263.56578731536865
🧮 Accumulative batch loss at batch idx 32 for SCL model: 270.62416076660156
🧮 Accumulative batch loss at batch idx 33 for DCL model: 271.74601459503174
🧮 Accumulative batch loss at batch idx 33 for NSCL model: 271.3403162956238
🧮 Accumulative batch loss at batch idx 33 for SCL model: 278.65810203552246
🧮 Accumulative batch loss at batch idx 34 for DCL model: 279.5145606994629
🧮 Accumulative batch loss at batch idx 34 for NSCL model: 279.0994439125061
🧮 Accumulative batch loss at batch idx 34 for SCL model: 286.68332290649414
🧮 Accumulative batch loss at batch idx 35 for DCL model: 287.25390100479126
🧮 Accumulative batch loss at batch idx 35 for NSCL model: 286.8209013938904
🧮 Accumulative batch loss at batch idx 35 for SCL model: 294.72771644592285
🧮 Accumulative batch loss at batch idx 36 for DCL model: 294.97062063217163
🧮 Accumulative batch loss at batch idx 36 for NSCL model: 294.5770297050476
🧮 Accumulative batch loss at batch idx 36 for SCL model: 302.7510108947754
🧮 Accumulative batch loss at batch idx 37 for DCL model: 302.7982621192932
🧮 Accumulative batch loss at batch idx 37 for NSCL model: 302.3169083595276
🧮 Accumulative batch loss at batch idx 37 for SCL model: 310.77948570251465
🧮 Accumulative batch loss at batch idx 38 for DCL model: 310.54265117645264
🧮 Accumulative batch loss at batch idx 38 for NSCL model: 310.09337186813354
🧮 Accumulative batch loss at batch idx 38 for SCL model: 318.8054485321045
🧮 Accumulative batch loss at batch idx 39 for DCL model: 318.26508140563965
🧮 Accumulative batch loss at batch idx 39 for NSCL model: 317.872811794281
🧮 Accumulative batch loss at batch idx 39 for SCL model: 326.821496963501
🧮 Accumulative batch loss at batch idx 40 for DCL model: 325.99475860595703
🧮 Accumulative batch loss at batch idx 40 for NSCL model: 325.53992319107056
🧮 Accumulative batch loss at batch idx 40 for SCL model: 334.84604263305664
🧮 Accumulative batch loss at batch idx 41 for DCL model: 333.7286033630371
🧮 Accumulative batch loss at batch idx 41 for NSCL model: 333.26606130599976
🧮 Accumulative batch loss at batch idx 41 for SCL model: 342.87063217163086
🧮 Accumulative batch loss at batch idx 42 for DCL model: 341.37558603286743
🧮 Accumulative batch loss at batch idx 42 for NSCL model: 340.9763374328613
🧮 Accumulative batch loss at batch idx 42 for SCL model: 350.87567710876465
🧮 Accumulative batch loss at batch idx 43 for DCL model: 349.12813997268677
🧮 Accumulative batch loss at batch idx 43 for NSCL model: 348.71773624420166
🧮 Accumulative batch loss at batch idx 43 for SCL model: 358.89061737060547
🧮 Accumulative batch loss at batch idx 44 for DCL model: 356.8006796836853
🧮 Accumulative batch loss at batch idx 44 for NSCL model: 356.38720989227295
🧮 Accumulative batch loss at batch idx 44 for SCL model: 366.8964328765869
🧮 Accumulative batch loss at batch idx 45 for DCL model: 364.49817657470703
🧮 Accumulative batch loss at batch idx 45 for NSCL model: 364.13224601745605
🧮 Accumulative batch loss at batch idx 45 for SCL model: 374.9180383682251
🧮 Accumulative batch loss at batch idx 46 for DCL model: 372.21352100372314
🧮 Accumulative batch loss at batch idx 46 for NSCL model: 371.84192991256714
🧮 Accumulative batch loss at batch idx 46 for SCL model: 382.9411153793335
🧮 Accumulative batch loss at batch idx 47 for DCL model: 379.8969430923462
🧮 Accumulative batch loss at batch idx 47 for NSCL model: 379.5536675453186
🧮 Accumulative batch loss at batch idx 47 for SCL model: 390.95247173309326
Saved dcl model to checkpoints/cifar100_parallel//dcl/snapshot_0.pth at epoch 0
Saved nscl model to checkpoints/cifar100_parallel//nscl/snapshot_0.pth at epoch 0
Saved scl model to checkpoints/cifar100_parallel//scl/snapshot_0.pth at epoch 0
Saved all models at epoch 0
DCL Loss per epoch: 7.914519647757213
NSCL Loss per epoch: 7.9073680738608045
SCL Loss per epoch: 8.14484316110611

=== Starting Evaluation ===
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:06<00:00,  1.62it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:02<00:00,  3.88it/s]
Evaluation accuracies: [0.06340000033378601]
CDNV: 19.488786697387695, Dir-CDNV: 6.579277515411377
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.21it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.28it/s]
Evaluation accuracies: [0.0625]
CDNV: 19.775604248046875, Dir-CDNV: 6.547487735748291
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.20it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.04it/s]
Evaluation accuracies: [0.08540000021457672]
CDNV: 18.159120559692383, Dir-CDNV: 5.069357872009277

=== Starting RSA Computation ===
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 177.65it/s]
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 193.97it/s]

RSA (Pearson) Correlation between DCL and nscl features: 0.0023 with p-value: 4.8235e-58
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 194.13it/s]

RSA (Pearson) Correlation between DCL and scl features: 0.0039 with p-value: 2.2380e-163

--- RSA Computation Complete ---
--- Starting CKA Computation ---
Subsampling 10000 images for CKA calculation due to memory constraints.
Computing CKA for nscl...

CKA (Linear Kernel) between DCL and NSCL features: 0.0003
Computing CKA for scl...

CKA (Linear Kernel) between DCL and SCL features: 0.0003

--- CKA Computation Complete ---
[GPU 0] Training epoch 1...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 2...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 3...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 4...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 5...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 6...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 7...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 8...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 9...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 10...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
Saved dcl model to checkpoints/cifar100_parallel//dcl/snapshot_10.pth at epoch 10
Saved nscl model to checkpoints/cifar100_parallel//nscl/snapshot_10.pth at epoch 10
Saved scl model to checkpoints/cifar100_parallel//scl/snapshot_10.pth at epoch 10
Saved all models at epoch 10
DCL Loss per epoch: 3.467185099919637
NSCL Loss per epoch: 3.3511361281077066
SCL Loss per epoch: 7.860722064971924

=== Starting Evaluation ===
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.56it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.24it/s]
Evaluation accuracies: [0.21449999511241913]
CDNV: 3.454411745071411, Dir-CDNV: 0.2508223056793213
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.35it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.28it/s]
Evaluation accuracies: [0.22589999437332153]
CDNV: 3.224184513092041, Dir-CDNV: 0.22535187005996704
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.26it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.14it/s]
Evaluation accuracies: [0.24939998984336853]
CDNV: 10.053564071655273, Dir-CDNV: 0.19210149347782135

=== Starting RSA Computation ===
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 188.31it/s]
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 194.53it/s]

RSA (Pearson) Correlation between DCL and nscl features: -0.0005 with p-value: 2.8958e-04
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 192.79it/s]

RSA (Pearson) Correlation between DCL and scl features: -0.0046 with p-value: 2.5014e-235

--- RSA Computation Complete ---
--- Starting CKA Computation ---
Subsampling 10000 images for CKA calculation due to memory constraints.
Computing CKA for nscl...

CKA (Linear Kernel) between DCL and NSCL features: 0.0018
Computing CKA for scl...

CKA (Linear Kernel) between DCL and SCL features: 0.0046

--- CKA Computation Complete ---
[GPU 0] Training epoch 11...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 12...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 13...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 14...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 15...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 16...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 17...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 18...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 19...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 20...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
Saved dcl model to checkpoints/cifar100_parallel//dcl/snapshot_20.pth at epoch 20
Saved nscl model to checkpoints/cifar100_parallel//nscl/snapshot_20.pth at epoch 20
Saved scl model to checkpoints/cifar100_parallel//scl/snapshot_20.pth at epoch 20
Saved all models at epoch 20
DCL Loss per epoch: 2.504978582262993
NSCL Loss per epoch: 2.4409238348404565
SCL Loss per epoch: 6.998442520697911

=== Starting Evaluation ===
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.38it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.14it/s]
Evaluation accuracies: [0.3037000000476837]
CDNV: 2.764556884765625, Dir-CDNV: 0.1509535163640976
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.26it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.13it/s]
Evaluation accuracies: [0.3146999776363373]
CDNV: 2.6242382526397705, Dir-CDNV: 0.14930835366249084
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.26it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.12it/s]
Evaluation accuracies: [0.42399999499320984]
CDNV: 2.849200963973999, Dir-CDNV: 0.10482634603977203

=== Starting RSA Computation ===
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 188.35it/s]
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 193.98it/s]

RSA (Pearson) Correlation between DCL and nscl features: 0.0025 with p-value: 7.3288e-69
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 191.55it/s]

RSA (Pearson) Correlation between DCL and scl features: 0.0047 with p-value: 4.9795e-247

--- RSA Computation Complete ---
--- Starting CKA Computation ---
Subsampling 10000 images for CKA calculation due to memory constraints.
Computing CKA for nscl...

CKA (Linear Kernel) between DCL and NSCL features: 0.0024
Computing CKA for scl...

CKA (Linear Kernel) between DCL and SCL features: 0.0035

--- CKA Computation Complete ---
[GPU 0] Training epoch 21...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 22...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 23...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 24...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 25...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 26...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 27...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 28...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 29...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 30...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
Saved dcl model to checkpoints/cifar100_parallel//dcl/snapshot_30.pth at epoch 30
Saved nscl model to checkpoints/cifar100_parallel//nscl/snapshot_30.pth at epoch 30
Saved scl model to checkpoints/cifar100_parallel//scl/snapshot_30.pth at epoch 30
Saved all models at epoch 30
DCL Loss per epoch: 2.227630933125814
NSCL Loss per epoch: 2.169031023979187
SCL Loss per epoch: 6.434935291608174

=== Starting Evaluation ===
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.52it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:02<00:00,  4.94it/s]
Evaluation accuracies: [0.3393999934196472]
CDNV: 2.6166396141052246, Dir-CDNV: 0.13318781554698944
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.27it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.13it/s]
Evaluation accuracies: [0.3563999831676483]
CDNV: 2.398334264755249, Dir-CDNV: 0.12704001367092133
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.18it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.15it/s]
Evaluation accuracies: [0.5199999809265137]
CDNV: 1.8395735025405884, Dir-CDNV: 0.0827096700668335

=== Starting RSA Computation ===
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 189.05it/s]
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 195.72it/s]

RSA (Pearson) Correlation between DCL and nscl features: 0.0067 with p-value: 0.0000e+00
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 193.66it/s]

RSA (Pearson) Correlation between DCL and scl features: 0.0102 with p-value: 0.0000e+00

--- RSA Computation Complete ---
--- Starting CKA Computation ---
Subsampling 10000 images for CKA calculation due to memory constraints.
Computing CKA for nscl...

CKA (Linear Kernel) between DCL and NSCL features: 0.0028
Computing CKA for scl...

CKA (Linear Kernel) between DCL and SCL features: 0.0036

--- CKA Computation Complete ---
[GPU 0] Training epoch 31...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 32...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 33...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 34...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 35...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 36...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.26s/it]
[GPU 0] Training epoch 37...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 38...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 39...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
[GPU 0] Training epoch 40...
100%|██████████████████████████████████████████████████████████████████████| 48/48 [01:00<00:00,  1.25s/it]
Saved dcl model to checkpoints/cifar100_parallel//dcl/snapshot_40.pth at epoch 40
Saved nscl model to checkpoints/cifar100_parallel//nscl/snapshot_40.pth at epoch 40
Saved scl model to checkpoints/cifar100_parallel//scl/snapshot_40.pth at epoch 40
Saved all models at epoch 40
DCL Loss per epoch: 2.070638969540596
NSCL Loss per epoch: 2.0067030588785806
SCL Loss per epoch: 6.099364697933197

=== Starting Evaluation ===
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.35it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.21it/s]
Evaluation accuracies: [0.35839998722076416]
CDNV: 2.4877185821533203, Dir-CDNV: 0.12206035107374191
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.22it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.25it/s]
Evaluation accuracies: [0.3804999887943268]
CDNV: 2.294560670852661, Dir-CDNV: 0.11462713778018951
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.22it/s]
Extracting Features: 100%|█████████████████████████████████████████████████| 10/10 [00:01<00:00,  5.12it/s]
Evaluation accuracies: [0.5877999663352966]
CDNV: 1.5100069046020508, Dir-CDNV: 0.07313164323568344

=== Starting RSA Computation ===
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 183.36it/s]
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 189.13it/s]

RSA (Pearson) Correlation between DCL and nscl features: 0.0058 with p-value: 0.0000e+00
Computing RDM with cosine distance on device: cuda (chunk_size: 1024)...
100%|█████████████████████████████████████████████████████████████████████| 10/10 [00:00<00:00, 186.67it/s]

RSA (Pearson) Correlation between DCL and scl features: 0.0059 with p-value: 0.0000e+00

--- RSA Computation Complete ---
--- Starting CKA Computation ---
Subsampling 10000 images for CKA calculation due to memory constraints.
Computing CKA for nscl...

CKA (Linear Kernel) between DCL and NSCL features: 0.0030
Computing CKA for scl...

CKA (Linear Kernel) between DCL and SCL features: 0.0039

--- CKA Computation Complete ---
